PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR,ESTATUS
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	023",0,89,12140,0,681,0,0,0,3075,0,0,3765,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	024",21,1026,70708,0,850,0,0,0,9014,0,0,16120,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	025",21,1774,159251,0,5804,0,0,0,35145,0,0,44729,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	026",0,201,5634,0,0,0,0,0,2283,0,0,392,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	027",0,57,3623,0,0,0,0,0,570,0,0,630,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	028",0,112,10583,0,0,0,0,0,3259,0,0,3169,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	029",0,93,65662,0,418,0,0,0,11790,7,0,25138,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	030",0,90,10653,0,0,0,0,0,2192,0,0,3161,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	031",3,934,184181,0,1739,0,0,13,39075,7,0,95614,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	032",0,326,3535,0,3,0,0,12,1702,0,0,474,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	033",0,8742,950255,0,7642,0,0,7,195043,0,0,189313,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	034",0,34,1150,0,8,0,0,0,337,0,0,140,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	035",0,384,33747,0,136,0,0,0,5449,0,0,8879,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	036",0,196,9370,0,31,0,0,0,3543,0,0,1272,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	037",85,1947,178363,0,529,0,0,1,29309,0,3,23558,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	038",0,23,2574,0,0,0,0,0,946,0,0,647,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	039",5,1084,223857,0,1356,0,0,1,44243,0,0,55893,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	040",0,663,8351,0,0,0,0,0,4132,0,0,1180,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	041",0,32,574,0,0,0,0,9,370,0,0,105,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	042",21,2015,30078,0,135,0,0,3,13442,0,0,2306,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	043",0,489,6483,0,0,0,0,0,2601,0,0,1272,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	044",0,220,8207,0,7,0,0,0,1603,0,0,2679,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	045",5,754,29907,0,165,0,0,10,10182,0,0,1912,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	046",0,104,7521,0,39,0,0,0,1580,0,0,2412,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	047",5,927,11251,0,52,0,0,0,6098,0,0,733,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	048",24,840,15264,0,0,0,0,0,5908,0,0,1019,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	049",0,102,1909,0,0,0,0,0,1012,0,0,210,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	050",0,55,4013,0,42,0,0,0,1693,0,0,634,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	051",5,2274,55730,0,74,0,0,1,16852,0,1,7494,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	052",0,420,4286,0,0,0,0,0,1611,0,0,894,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	053",0,169,18903,0,564,0,0,0,3629,0,0,7081,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	054",146,3734,145123,0,0,0,0,1,23969,0,0,16813,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	055",0,36,4276,0,1,0,0,0,2384,0,0,684,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	056",0,389,4604,0,0,0,0,0,2076,0,0,307,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	057",414,4719,575420,0,6096,0,0,19,79807,151,29,87384,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	058",0,8343,745044,0,6807,0,0,75,134485,7,0,179340,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	059",0,21,12590,0,18,0,0,0,3145,0,0,5918,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	060",0,575,120766,0,2539,0,0,1,20001,0,0,30611,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	061",0,7,3714,0,0,0,0,0,1400,0,0,434,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	062",0,1104,19686,0,0,0,0,1,4878,0,0,3448,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	063",0,375,3931,0,0,0,0,0,2176,0,0,450,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	064",0,531,7447,0,0,0,0,1,2556,0,0,333,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	065",0,96,18917,0,12,0,0,0,9219,0,0,1867,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	066",0,12,888,0,0,0,0,14,433,0,0,181,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	067",0,611,14883,0,29,0,0,0,4994,0,0,3084,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	068",0,170,6368,0,303,0,0,0,2609,0,0,833,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	069",0,15,2167,0,0,0,0,0,474,0,0,550,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	070",2,645,105141,0,754,0,0,5,21159,0,0,30978,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	071",0,195,5364,0,1,0,0,0,2544,0,0,342,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	072",0,53,2771,0,0,0,0,0,540,0,0,522,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	073",8,150,6197,0,0,0,0,0,1304,0,0,1228,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	074",2,1448,16242,0,22,0,0,0,7456,0,0,808,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	075",0,76,10002,0,1,0,0,0,3371,0,0,1580,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	076",0,828,31677,0,6,0,0,1,7010,0,0,9025,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	077",0,34,1126,0,0,0,0,0,387,0,0,145,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	078",0,54,1086,0,0,0,0,7,520,0,0,334,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	079",0,86,4113,0,0,0,0,0,1611,0,0,317,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	080",0,91,3253,0,0,0,0,6,1998,0,0,442,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	081",0,1183,247137,0,518,0,0,1,45817,0,0,48731,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	082",8,868,12553,0,27,0,0,149,6241,0,0,6738,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	083",0,54,4625,0,13,0,0,0,378,0,0,1208,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	084",0,154,9044,0,59,0,0,0,2832,0,0,1889,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	085",0,853,12045,0,8,0,0,0,7772,0,0,10018,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	086",0,220,5605,0,0,0,0,13,3529,0,0,597,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	087",0,1059,17555,0,84,0,0,0,9948,0,0,2461,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	088",2,1685,18319,0,47,0,0,0,7564,0,0,4775,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	089",0,19,2821,0,4,0,0,0,1034,0,0,591,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	090",0,1031,16274,0,133,0,0,0,6950,0,2,2034,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	091",0,58,27084,0,200,0,0,0,7298,0,0,8167,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	092",0,208,27745,0,431,0,0,0,6759,0,0,5979,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	093",0,40,9414,0,0,0,0,0,2909,0,0,2083,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	094",2,86,3738,0,45,0,0,0,1538,0,0,399,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	095",0,204,33422,0,218,0,0,0,8321,0,0,7504,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	096",0,29,9217,0,42,0,0,0,3596,0,0,2458,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	097",0,181,3312,0,0,0,0,73,1831,0,0,175,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	098",0,60,1305,0,0,0,0,0,347,0,0,299,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	099",0,2349,129840,0,1896,0,0,6,28702,0,0,30880,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	100",0,72,13570,0,2,0,0,1,3600,0,0,4559,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	101",0,1386,20223,0,34,0,0,0,6466,0,0,4628,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	102",0,158,4622,0,0,0,0,0,2219,0,0,202,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	103",0,454,14477,0,64,0,0,0,2459,0,0,2285,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	104",500,4468,498116,0,4541,0,0,12,86707,412,1,81801,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	105",0,19,2216,0,0,0,0,53,1971,0,0,414,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	106",4967,15678,448596,0,3896,0,0,104,93133,309,78,64866,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	107",0,112,3096,0,0,0,0,0,1949,0,0,486,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	108",0,321,57900,0,819,0,0,1,9106,0,0,20063,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	109",0,2279,207121,0,890,0,0,0,35521,0,0,53187,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	110",8,2033,20788,0,25,0,0,101,6178,26,0,5722,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	111",0,655,4871,0,0,0,0,0,1875,0,0,309,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	112",0,335,9450,0,3,0,0,0,3626,0,0,1624,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	113",0,328,6914,0,0,0,0,10,7845,0,0,781,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	114",0,1499,12881,0,0,0,0,0,3857,0,0,622,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	115",0,868,13157,0,0,0,0,0,5311,0,0,1672,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	116",0,9,918,0,0,0,0,16,535,0,0,58,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	117",0,60,1452,0,0,0,0,14,1081,0,0,90,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	118",97,1684,47308,0,47,0,0,0,11263,13,0,5665,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	119",0,241,1149,0,0,0,0,0,838,0,0,151,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	120",0,683,75939,0,1181,0,0,0,18566,0,0,21053,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	121",285,3590,331117,0,2285,0,0,1,49442,183,0,52364,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	122",0,730,114355,0,503,0,0,0,24466,0,0,49904,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	123",0,22,6408,0,0,0,0,40,3301,0,0,297,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	124",0,569,6422,0,0,0,0,0,2453,0,0,589,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	15","	125",0,23,3627,0,0,0,0,0,995,0,0,1203,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	001",0,11,1619,0,0,1,0,15,2231,1,0,761,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	002",0,5,1255,0,0,0,0,0,1967,0,0,108,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	003",12,99,21451,0,2,34,0,18,12677,21,3,5436,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	004",0,7,1434,0,1,8,1,0,2123,0,0,566,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	005",0,19,1295,0,0,1,2,1,1167,0,0,188,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	006",5,1648,18565,2,6,7,4,220,14253,2,0,11225,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	007",3,32,12144,0,0,36,0,3,9834,4,11,3786,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	008",0,10,1137,0,1,0,0,3,1873,0,0,368,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	009",1,56,5630,0,0,3,3,17,6593,0,0,4875,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	010",2,28,3743,0,0,1,0,13,3405,0,0,1607,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	011",0,20,3242,0,2,26,1,3,2567,0,0,1140,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	012",0,67,5581,0,0,3,0,1,6969,0,0,646,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	013",0,20,1104,0,0,0,0,4,1341,0,0,1344,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	014",12,64,11881,1,0,6,6,1,12936,0,0,622,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	015",2,22,2648,0,0,1,0,3,3243,0,0,1154,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	016",1,18,3910,0,0,3,1,2,3888,0,0,2205,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	017",0,12,1842,0,0,12,0,4,2265,0,0,608,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	018",1,3,2390,0,0,1,0,3,2133,0,0,1308,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	019",0,42,3671,0,0,1,0,7,3597,0,0,5552,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	020",0,52,2805,0,1,5,1,23,3021,0,0,1487,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	021",0,2,640,0,0,3,0,1,719,0,0,41,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	022",1,13,2526,0,3,3,3,12,2332,0,0,647,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	023",0,6,2067,0,1,18,0,2,2191,0,0,1773,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	024",3,53,1880,1,0,2,2,21,1797,0,0,164,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	025",0,71,5020,0,0,25,0,10,3515,0,0,1107,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	026",0,0,509,0,0,0,1,0,795,0,0,239,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	027",0,0,570,0,0,0,0,0,879,0,0,533,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	028",0,3,2689,0,1,4,0,1,1939,0,0,824,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	029",0,8,742,0,0,1,0,5,1227,0,0,88,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	030",0,14,1655,0,1,43,0,1,1679,0,0,518,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	031",0,39,3983,0,0,21,0,1,3603,0,0,489,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	032",0,8,1474,0,1,4,0,7,1264,0,0,423,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	033",0,48,2059,0,0,3,0,7,2617,0,0,919,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	034",5,233,18806,1,9,20,7,171,15829,7,2,6556,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	035",1,95,1760,0,0,0,3,46,2268,0,0,329,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	036",0,30,2037,0,0,6,1,5,1357,1,0,2510,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	037",0,11,1627,0,0,0,1,0,1960,0,0,972,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	038",4,293,12804,1,0,4,5,106,11258,0,1,4011,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	039",0,11,1146,0,0,3,0,1,1117,0,0,269,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	040",0,8,1753,0,0,2,0,6,1985,0,0,1179,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	041",0,15,2117,1,0,4,0,1,1932,0,0,693,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	042",0,9,1461,0,0,1,1,0,1596,1,0,1302,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	043",2,76,12290,0,2,192,0,6,9160,19,0,9024,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	044",1,13,3232,0,2,1,6,1,2388,0,0,2185,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	045",0,110,9155,1,1,8,2,26,5691,0,0,6165,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	046",0,63,5294,0,0,52,2,8,5555,0,0,1210,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	047",0,15,3533,0,0,0,0,1,3391,0,0,1366,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	048",0,5,497,0,0,0,0,1,536,0,0,167,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	049",1,6,1310,0,0,0,0,3,2320,0,0,370,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	050",26,511,17423,0,4,82,16,246,18692,0,0,3146,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	051",1,59,9191,0,1,28,2,19,7845,0,0,1339,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	052",173,1639,39043,2,3,72,474,129,13574,9,0,21842,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	053",1883,9339,261773,42,271,251,3311,3772,92400,607,4,63853,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	054",1,6,1189,0,0,2,0,0,1513,0,0,486,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	055",1,366,4711,0,0,6,0,29,4380,0,0,954,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	056",0,30,1014,0,0,0,0,2,1127,0,0,97,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	057",0,24,7806,0,1,7,3,2,4693,2,3,3006,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	058",12,82,5653,0,1,10,1,6,5045,0,0,3523,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	059",0,4,884,0,0,0,0,0,1239,0,0,675,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	060",0,5,2150,0,0,11,1,2,2191,0,0,840,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	061",14,76,18571,0,1,94,2,3,14030,0,3,4271,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	062",1,7,2469,0,0,5,1,0,2659,0,0,1225,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	063",0,9,2332,0,1,8,0,0,2256,0,0,1217,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	064",0,13,2216,0,0,5,1,1,3169,0,0,549,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	065",2,187,5161,0,0,23,2,29,2895,0,0,1199,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	066",4,615,13132,1,1,11,3,328,7525,0,0,5991,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	067",0,4,2379,0,1,8,1,0,2981,0,0,794,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	068",0,9,4404,0,0,3,2,0,5939,1,0,925,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	069",33,533,40638,0,62,114,4,135,26034,0,0,7996,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	070",1,30,3779,0,0,6,0,2,2614,0,0,4179,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	071",4,104,9470,0,11,10,0,26,8780,0,1,7613,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	072",0,15,4140,0,1,8,0,7,4027,0,0,916,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	073",0,62,3735,0,0,11,0,21,3000,0,0,3168,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	074",0,9,2753,0,0,6,0,0,2575,0,0,1950,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	075",2,89,9016,0,1,123,0,61,8350,132,0,7953,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	076",11,378,27472,2,3,28,10,51,17443,0,0,21463,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	077",0,11,3862,0,0,29,0,6,2834,0,0,1205,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	078",1,11,4397,0,0,3,0,1,2957,1,1,1513,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	079",0,19,2925,0,0,2,1,4,4671,0,0,699,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	080",13,7,3897,0,0,10,0,3,2940,0,0,904,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	081",0,15,8578,0,0,17,0,0,4611,0,1,2954,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	082",2,307,7871,0,0,11,1,87,9877,4,0,3849,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	083",2,7,4278,0,0,11,0,1,6363,0,0,343,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	084",1,13,1947,0,0,5,0,1,2967,2,0,1781,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	085",0,139,6859,0,0,218,1,11,5795,0,0,4409,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	086",0,15,2723,0,0,120,0,1,2798,0,0,1366,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	087",8,100,3185,0,0,3,1,12,2773,0,0,2040,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	088",7,44,7867,0,0,6,1,12,4342,0,0,5409,Cifras Definitivas
Vehículos de motor registrados en circulación. Anual,Municipal,2024,"	16","	089",0,43,2847,0,0,0,4,6,3133,0,0,212,Cifras Definitivas
